INFO:__main__:Object(Name='matlab2python', Extension='.py', IsCatalog=420, Parent='/Users/alex/matlab2python')
INFO:__main__:Object(Name='', Extension='.DS_Store', IsCatalog=420, Parent='/Users/alex/matlab2python')
INFO:__main__:Object(Name='requirements', Extension='.txt', IsCatalog=420, Parent='/Users/alex/matlab2python')
INFO:__main__:Object(Name='Makefile', Extension=None, IsCatalog=420, Parent='/Users/alex/matlab2python')
INFO:__main__:Object(Name='tests', Extension=None, IsCatalog=493, Parent='/Users/alex/matlab2python')
INFO:__main__:Object(Name='smop', Extension=None, IsCatalog=493, Parent='/Users/alex/matlab2python')
INFO:__main__:Object(Name='README', Extension='.md', IsCatalog=420, Parent='/Users/alex/matlab2python')
INFO:__main__:Object(Name='file', Extension='.py', IsCatalog=420, Parent='/Users/alex/matlab2python')
INFO:__main__:Object(Name='setup', Extension='.py', IsCatalog=420, Parent='/Users/alex/matlab2python')
INFO:__main__:Object(Name='', Extension='.gitignore', IsCatalog=420, Parent='/Users/alex/matlab2python')
INFO:__main__:Object(Name='.github', Extension=None, IsCatalog=493, Parent='/Users/alex/matlab2python')
INFO:__main__:Object(Name='.git', Extension=None, IsCatalog=493, Parent='/Users/alex/matlab2python')
INFO:__main__:Object(Name='LICENSE', Extension='.TXT', IsCatalog=420, Parent='/Users/alex/matlab2python')
INFO:__main__:Object(Name='matlabparser', Extension=None, IsCatalog=493, Parent='/Users/alex/matlab2python')
